ID,ID,Requerimiento,Tipo,Interesado/s,Minuta,Módulo,Prioridad (MoSCoW),User stories
18,18.2,Permitir asignar costos no laborales como servidores o capacitaciones a proyectos mediante facturas.,,Ricardo Ratio,minuta-02-gerente-finanzas-psa,Finanzas,Should,
,18.3,Consultar facturas de ERP,,Ricardo Ratio,minuta-02-gerente-finanzas-psa,Finanzas,Must,
19,,Permitir la interoperabilidad con Microsoft Project.,,Ricardo Ratio,minuta-02-gerente-finanzas-psa,Finanzas,Must,
19,19.1,Permitir exportar información a Microsoft Project para compartirla con externos.,,Ricardo Ratio,minuta-02-gerente-finanzas-psa,Finanzas,Must,
19,19.2,Permitir importar datos desde Microsoft Project.,,Ricardo Ratio,minuta-02-gerente-finanzas-psa,Finanzas,Must,
20,,Proporcionar una interfaz de comunicación bajo el protocolo REST para facilitar el intercambio de información entre los distintos módulos y productos.,RF,Tomas Bruneleschi,minuta-06-po-psa,General,Must,
20,20.1,Consultar al módulo externo que contiene a la pool de desarolladores disponibles a la hora de asignar recursos,RF,Tomas Bruneleschi,minuta-06-po-psa,General,Could,
21,,"Proporcionar acceso a datos en tiempo real, no solo a través de reportes periódicos.",,Ricardo Ratio,minuta-02-gerente-finanzas-psa,Finanzas,Must,
21,21.1,"Permitir filtrar datos según tipo de proyecto, equipo y empleado.",,Ricardo Ratio,minuta-02-gerente-finanzas-psa,Finanzas,Must,
21,21.2,Proporcionar reportes sobre la rentabilidad de los proyectos.,,Ricardo Ratio,minuta-02-gerente-finanzas-psa,Finanzas,Must,-
22,,Implementar un sistema de alertas.,,Tomas Bruneleschi,minuta-06-po-psa,Finanzas,Must,-
22,22.1,Generar alertas sobre tickets vencidos.,,Tomas Bruneleschi,minuta-06-po-psa,Finanzas,Must,-
22,22.2,Proveer información sobre el promedio de fallas o bugs de los proyectos para prevenir la insatisfacción de los clientes.,,Tomas Bruneleschi,minuta-06-po-psa,Soporte,Should,-
23,,La herramienta debe ser adaptable para clientes externos,,CEO,minuta-01-ceo-psa,Ventas,Should,-
